dataset,track_id,condition,snr_db,accomp,detector,precision,recall,f_measure,n_ref,n_est
vocadito,11,mix,-5.0,M.E.R.C. Music - Knockout,spectral_flux,0.2830188679245283,0.40540540540540543,0.33333333333333337,37,53
vocadito,11,mix,-5.0,M.E.R.C. Music - Knockout,superflux,0.24444444444444444,0.2972972972972973,0.2682926829268293,37,45
vocadito,11,mix,-5.0,M.E.R.C. Music - Knockout,madmom_cnn,0.3188405797101449,0.5945945945945946,0.4150943396226415,37,69
vocadito,11,separated,-5.0,M.E.R.C. Music - Knockout,spectral_flux,0.4716981132075472,0.6756756756756757,0.5555555555555556,37,53
vocadito,11,separated,-5.0,M.E.R.C. Music - Knockout,superflux,0.5128205128205128,0.5405405405405406,0.5263157894736842,37,39
vocadito,11,separated,-5.0,M.E.R.C. Music - Knockout,madmom_cnn,0.7333333333333333,0.5945945945945946,0.6567164179104478,37,30
vocadito,11,mix,0.0,M.E.R.C. Music - Knockout,spectral_flux,0.34615384615384615,0.4864864864864865,0.4044943820224719,37,52
vocadito,11,mix,0.0,M.E.R.C. Music - Knockout,superflux,0.2682926829268293,0.2972972972972973,0.28205128205128205,37,41
vocadito,11,mix,0.0,M.E.R.C. Music - Knockout,madmom_cnn,0.36363636363636365,0.6486486486486487,0.4660194174757281,37,66
vocadito,11,separated,0.0,M.E.R.C. Music - Knockout,spectral_flux,0.5853658536585366,0.6486486486486487,0.6153846153846153,37,41
vocadito,11,separated,0.0,M.E.R.C. Music - Knockout,superflux,0.7142857142857143,0.5405405405405406,0.6153846153846154,37,28
vocadito,11,separated,0.0,M.E.R.C. Music - Knockout,madmom_cnn,0.8,0.6486486486486487,0.7164179104477612,37,30
vocadito,11,mix,5.0,M.E.R.C. Music - Knockout,spectral_flux,0.38461538461538464,0.5405405405405406,0.44943820224719105,37,52
vocadito,11,mix,5.0,M.E.R.C. Music - Knockout,superflux,0.325,0.35135135135135137,0.33766233766233766,37,40
vocadito,11,mix,5.0,M.E.R.C. Music - Knockout,madmom_cnn,0.421875,0.7297297297297297,0.5346534653465346,37,64
vocadito,11,separated,5.0,M.E.R.C. Music - Knockout,spectral_flux,0.6388888888888888,0.6216216216216216,0.6301369863013699,37,36
vocadito,11,separated,5.0,M.E.R.C. Music - Knockout,superflux,0.7241379310344828,0.5675675675675675,0.6363636363636365,37,29
vocadito,11,separated,5.0,M.E.R.C. Music - Knockout,madmom_cnn,0.7878787878787878,0.7027027027027027,0.7428571428571429,37,33
vocadito,12,clean,,Drumtracks - Ghost Bitch,spectral_flux,0.5121951219512195,0.7777777777777778,0.6176470588235294,27,41
vocadito,12,clean,,Drumtracks - Ghost Bitch,superflux,0.5526315789473685,0.7777777777777778,0.6461538461538462,27,38
vocadito,12,clean,,Drumtracks - Ghost Bitch,madmom_cnn,0.6774193548387096,0.7777777777777778,0.7241379310344828,27,31
vocadito,12,mix,-5.0,Drumtracks - Ghost Bitch,spectral_flux,0.18867924528301888,0.37037037037037035,0.25,27,53
vocadito,12,mix,-5.0,Drumtracks - Ghost Bitch,superflux,0.18181818181818182,0.2962962962962963,0.22535211267605634,27,44
vocadito,12,mix,-5.0,Drumtracks - Ghost Bitch,madmom_cnn,0.3442622950819672,0.7777777777777778,0.4772727272727273,27,61
vocadito,12,separated,-5.0,Drumtracks - Ghost Bitch,spectral_flux,0.4,0.8148148148148148,0.5365853658536586,27,55
vocadito,12,separated,-5.0,Drumtracks - Ghost Bitch,superflux,0.48717948717948717,0.7037037037037037,0.5757575757575758,27,39
vocadito,12,separated,-5.0,Drumtracks - Ghost Bitch,madmom_cnn,0.8695652173913043,0.7407407407407407,0.7999999999999999,27,23
vocadito,12,mix,0.0,Drumtracks - Ghost Bitch,spectral_flux,0.22641509433962265,0.4444444444444444,0.3,27,53
vocadito,12,mix,0.0,Drumtracks - Ghost Bitch,superflux,0.24444444444444444,0.4074074074074074,0.3055555555555555,27,45
vocadito,12,mix,0.0,Drumtracks - Ghost Bitch,madmom_cnn,0.3333333333333333,0.8148148148148148,0.47311827956989244,27,66
vocadito,12,separated,0.0,Drumtracks - Ghost Bitch,spectral_flux,0.5348837209302325,0.8518518518518519,0.6571428571428571,27,43
vocadito,12,separated,0.0,Drumtracks - Ghost Bitch,superflux,0.5714285714285714,0.7407407407407407,0.6451612903225806,27,35
vocadito,12,separated,0.0,Drumtracks - Ghost Bitch,madmom_cnn,0.7777777777777778,0.7777777777777778,0.7777777777777778,27,27
vocadito,12,mix,5.0,Drumtracks - Ghost Bitch,spectral_flux,0.2727272727272727,0.5555555555555556,0.36585365853658536,27,55
vocadito,12,mix,5.0,Drumtracks - Ghost Bitch,superflux,0.2857142857142857,0.5185185185185185,0.3684210526315789,27,49
vocadito,12,mix,5.0,Drumtracks - Ghost Bitch,madmom_cnn,0.36923076923076925,0.8888888888888888,0.5217391304347826,27,65
vocadito,12,separated,5.0,Drumtracks - Ghost Bitch,spectral_flux,0.5897435897435898,0.8518518518518519,0.6969696969696971,27,39
vocadito,12,separated,5.0,Drumtracks - Ghost Bitch,superflux,0.5882352941176471,0.7407407407407407,0.6557377049180328,27,34
vocadito,12,separated,5.0,Drumtracks - Ghost Bitch,madmom_cnn,0.8,0.7407407407407407,0.7692307692307692,27,25
vocadito,13,clean,,Flags - 54,spectral_flux,0.5277777777777778,0.5135135135135135,0.5205479452054794,74,72
vocadito,13,clean,,Flags - 54,superflux,0.5964912280701754,0.4594594594594595,0.5190839694656488,74,57
vocadito,13,clean,,Flags - 54,madmom_cnn,0.5263157894736842,0.5405405405405406,0.5333333333333333,74,76
vocadito,13,mix,-5.0,Flags - 54,spectral_flux,0.272108843537415,0.5405405405405406,0.36199095022624433,74,147
vocadito,13,mix,-5.0,Flags - 54,superflux,0.2777777777777778,0.47297297297297297,0.35000000000000003,74,126
vocadito,13,mix,-5.0,Flags - 54,madmom_cnn,0.32450331125827814,0.6621621621621622,0.43555555555555553,74,151
vocadito,13,separated,-5.0,Flags - 54,spectral_flux,0.49473684210526314,0.6351351351351351,0.5562130177514794,74,95
vocadito,13,separated,-5.0,Flags - 54,superflux,0.5285714285714286,0.5,0.513888888888889,74,70
vocadito,13,separated,-5.0,Flags - 54,madmom_cnn,0.7647058823529411,0.527027027027027,0.6239999999999999,74,51
vocadito,13,mix,0.0,Flags - 54,spectral_flux,0.304635761589404,0.6216216216216216,0.40888888888888886,74,151
vocadito,13,mix,0.0,Flags - 54,superflux,0.2900763358778626,0.5135135135135135,0.3707317073170732,74,131
vocadito,13,mix,0.0,Flags - 54,madmom_cnn,0.34,0.6891891891891891,0.4553571428571429,74,150
vocadito,13,separated,0.0,Flags - 54,spectral_flux,0.42857142857142855,0.6081081081081081,0.5027932960893854,74,105
vocadito,13,separated,0.0,Flags - 54,superflux,0.5277777777777778,0.5135135135135135,0.5205479452054794,74,72
vocadito,13,separated,0.0,Flags - 54,madmom_cnn,0.6909090909090909,0.5135135135135135,0.5891472868217054,74,55
vocadito,13,mix,5.0,Flags - 54,spectral_flux,0.2981366459627329,0.6486486486486487,0.4085106382978724,74,161
vocadito,13,mix,5.0,Flags - 54,superflux,0.3233082706766917,0.581081081081081,0.4154589371980676,74,133
vocadito,13,mix,5.0,Flags - 54,madmom_cnn,0.3472222222222222,0.6756756756756757,0.45871559633027525,74,144
vocadito,13,separated,5.0,Flags - 54,spectral_flux,0.4631578947368421,0.5945945945945946,0.5207100591715976,74,95
vocadito,13,separated,5.0,Flags - 54,superflux,0.5694444444444444,0.5540540540540541,0.5616438356164383,74,72
vocadito,13,separated,5.0,Flags - 54,madmom_cnn,0.640625,0.5540540540540541,0.5942028985507247,74,64
vocadito,14,clean,,Actions - Devil's Words,spectral_flux,0.4878048780487805,0.5882352941176471,0.5333333333333332,34,41
vocadito,14,clean,,Actions - Devil's Words,superflux,0.5405405405405406,0.5882352941176471,0.5633802816901409,34,37
vocadito,14,clean,,Actions - Devil's Words,madmom_cnn,0.6666666666666666,0.6470588235294118,0.6567164179104478,34,33
vocadito,14,mix,-5.0,Actions - Devil's Words,spectral_flux,0.2755102040816326,0.7941176470588235,0.40909090909090906,34,98
vocadito,14,mix,-5.0,Actions - Devil's Words,superflux,0.28,0.6176470588235294,0.3853211009174312,34,75
vocadito,14,mix,-5.0,Actions - Devil's Words,madmom_cnn,0.32727272727272727,0.5294117647058824,0.4044943820224719,34,55
vocadito,14,separated,-5.0,Actions - Devil's Words,spectral_flux,0.3170731707317073,0.7647058823529411,0.4482758620689655,34,82
vocadito,14,separated,-5.0,Actions - Devil's Words,superflux,0.4339622641509434,0.6764705882352942,0.5287356321839081,34,53
vocadito,14,separated,-5.0,Actions - Devil's Words,madmom_cnn,0.7058823529411765,0.7058823529411765,0.7058823529411765,34,34
vocadito,14,mix,0.0,Actions - Devil's Words,spectral_flux,0.2604166666666667,0.7352941176470589,0.3846153846153846,34,96
vocadito,14,mix,0.0,Actions - Devil's Words,superflux,0.3150684931506849,0.6764705882352942,0.42990654205607476,34,73
vocadito,14,mix,0.0,Actions - Devil's Words,madmom_cnn,0.375,0.6176470588235294,0.4666666666666667,34,56
vocadito,14,separated,0.0,Actions - Devil's Words,spectral_flux,0.3380281690140845,0.7058823529411765,0.45714285714285713,34,71
vocadito,14,separated,0.0,Actions - Devil's Words,superflux,0.4782608695652174,0.6470588235294118,0.55,34,46
vocadito,14,separated,0.0,Actions - Devil's Words,madmom_cnn,0.696969696969697,0.6764705882352942,0.6865671641791046,34,33
vocadito,14,mix,5.0,Actions - Devil's Words,spectral_flux,0.29411764705882354,0.7352941176470589,0.4201680672268907,34,85
vocadito,14,mix,5.0,Actions - Devil's Words,superflux,0.38333333333333336,0.6764705882352942,0.4893617021276596,34,60
vocadito,14,mix,5.0,Actions - Devil's Words,madmom_cnn,0.4791666666666667,0.6764705882352942,0.5609756097560975,34,48
vocadito,14,separated,5.0,Actions - Devil's Words,spectral_flux,0.4107142857142857,0.6764705882352942,0.5111111111111111,34,56
vocadito,14,separated,5.0,Actions - Devil's Words,superflux,0.525,0.6176470588235294,0.5675675675675677,34,40
vocadito,14,separated,5.0,Actions - Devil's Words,madmom_cnn,0.7777777777777778,0.6176470588235294,0.6885245901639345,34,27
vocadito,15,clean,,Alexander Ross - Goodbye Bolero,spectral_flux,0.5277777777777778,0.40425531914893614,0.45783132530120485,47,36
vocadito,15,clean,,Alexander Ross - Goodbye Bolero,superflux,0.5,0.3191489361702128,0.38961038961038963,47,30
